No.,대분류,중분류,소분류,데이터명(데이터 기준단위),주요 데이터내용(해당 시스템에서 추출),데이터 내용(해당 시스템에서 추출),기관명,시스템명
59,산업안전보건,산업안전,안전보건교육,교육시설정보,"교육시설번호, 관리지사코드, 교육시설명, 교육시설위치명","교육시설번호, 관리지사코드, 교육시설명, 교육시설위치명, 교육시설남녀구분코드, 정원인원수, 수용인원수, 사용여부, 최초입력자아이디, 최초입력부서코드, 최초입력지사코드, 최초입력일시, 최종수정자아이디, 최종수정부서코드, 최종수정지사코드, 최종수정일시, 생활실아이디",한국산업안전보건공단,산업안전보건교육원 홈페이지
60,산업안전보건,산업안전,안전보건교육,교육강사,"관리지사코드, 강사번호, 강사종류구분코드, 강사명, 학위명, 전공명","관리지사코드, 강사번호, 강사종류구분코드, 이해관계자키맵관리번호, 강사명, 사원한자명, 소속직장명, 직급직책명, 학위명, 전공명, 팩스번호, 비고내용, 지급기준구분코드, 출장여비금액, 강사위촉여부, 첨부파일번호, 최초입력자아이디, 최초입력부서코드, 최초입력지사코드, 최초입력일시, 최종수정자아이디, 최종수정부서코드, 최종수정지사코드, 최종수정일시, 직장전화번호",한국산업안전보건공단,산업안전보건교육원 홈페이지
61,산업안전보건,산업안전,안전보건교육,교육수강정보,"교육년도, 교육분류코드, 교육과정코드, 개인정보이력일련번호","삭제일시, 교육년도, 교육분류코드, 교육과정코드, 교육기수번호, 업무이해관계자개인정보관리번호, 안전보건공단관리지사코드, 개인정보이력일련번호, 환급대상여부, 수강자팩스번호, 정규직여부, 외국인여부, 첨부파일번호, 교육접수번호, 수강등록번호, 교육접수일시, 교육과정수료식별번호, 자격수첩식별번호, 교육제적일자, 교육수료일자, 교육시험점수, 출퇴근근태점수, 교육포상상세내용, 교육포상번호, 미수금액사유내용, 합숙기숙사교육시설번호, 영수증발급일자, 결제금액, 결재일련번호, 결재일자, 결재자명, 결제승인식별번호, 수강등록번호유무, 대표자여부, 마일리지카드출력여부, 숙박결제식별번호, 숙박결제방법구분코드, 숙박결제단계구분코드, 숙박가수금관리번호, 숙박입금가수금관리번호, 숙박비용입금일자, 숙박비용입금자명, 숙박금액, 무료사유내용, 출력구분코드, 수수료관리번호, 삭제수수료관리번호, 은행구분코드, 환급계좌번호, 환급계좌예금자명, 환급지급여부, 환급지급금액, 서류제출여부, 교육비결제방식구분코드, 교육비결제단계구분코드, 교육과정명, 교육시간구분코드, 교육업무구분코드, 계획인원수, 교육시작일자, 교육종료일자, 교육시설번호, 교육담당자아이디, 통합사업장사업관계키맵관리번호, 종목명, 업태명, 최초입력자아이디, 최초입력부서코드, 최초입력지사코드, 최초입력일시, 최종수정자아이디, 최종수정부서코드, 최종수정지사코드, 최종수정일시",한국산업안전보건공단,산업안전보건교육원 홈페이지
62,산업안전보건,산업안전,안전보건교육,학습방정보,"사업장 코드, 사업장 이름, 교육 과정, 상세 url, 강의 날짜, 교육 장소","사업장 코드, 사업장 이름, 교육 과정, 상세 url, 교육 종료 시간, 교육 클라이언트, 강의 날짜, 학습메모, 학습 시간(분), 학습방 제목, 학습방 주제, QR코드 파일명, 방 생성일, 가입 타입, 교육 시작 시간, 교육방 상태(진행중 or  종료), 교육 장소, 강사 이메일, 강사 아이디, 강사 이름 ",한국산업안전보건공단,산업안전교육이수확인(ICT콘텐츠플랫폼)
63,산업안전보건,산업안전,안전보건교육,아이템,"상품번호, 상품설명, 상태, 아이템타입, 다운로드 URL","양F, 재고변경 사유, 유관기관 월주문수량, 양L, 양수정일자, 양S, 공단 월주문수량, 양T, 사용자 월주문수량, 발행일, 생성자 계정, 다운로드명, 다운로드 오리지널 이름, 아이템에이전시, 아이템코드, 아이템설명, 상품설명, 아이템이미지명, 아이템 이미지 오리지널 이름, 아이템언어, 메인표출 순번, 아이템명, 아이템푸쉬, 아이템쉬핑, 아이템스탠다드, 아이템타입, 다운로드 URL, 상품번호, 수정날짜, 수정자, 상태",한국산업안전보건공단,미디어 현장배송 서비스
64,산업안전보건,산업안전,안전보건교육,주문아이템,"주문 일련번호, 일련번호, 주문수량","주문수량, 발행일, 생성자 계정, 상품 일렬번호, 수정날짜, 수정자, 주문 일련번호, 일련번호, 상태",한국산업안전보건공단,미디어 현장배송 서비스
65,산업안전보건,산업안전,안전보건교육,사용자정보,"유저ID, 이름, 핸드폰번호, 유저PW","관리자 권한 부여 코드, 발행일, 생성자 계정, 수정날짜, 수정자, 상태, 이메일, 비밀번호실패수, 유저ID, 이름, 핸드폰번호, 유저PW, 개발자 부여 권한 ",한국산업안전보건공단,미디어 현장배송 서비스
66,산업안전보건,산업안전,안전보건교육,이수증정보,"수료증고유번호, 수료자명, 수료자생년월일, 교육구분코드, 과정구분코드","수료증고유번호, 수료자명, 수료자생년월일, 교육구분코드, 과정구분코드, 최초입력교육회원번호, 최초입력일시, 최종수정교육회원번호, 최종수정일시, 교육시작시각, 교육종료시각, 수료증서식번호, 수료증고유번호, 수료자명, 수료자생년월일, 교육구분코드, 과정구분코드, 최초입력자아이디, 최초입력일시, 최종수정자아이디, 최종수정일시, 교육시작시각, 교육종료시각, 수료증서식번호",한국산업안전보건공단,미디어 현장배송 서비스
67,산업안전보건,산업안전,안전보건교육,민간교육기관,"사업장기본주소, 사업장상세주소, 전화번호, 기관코드, 지역분류코드,  사업장관리번호, 사업개시번호, 사업자등록번호, 교육기관명","사업장기본주소, 사업장상세주소, 기관홈페이지URL, 회사소개설명, 교육담당자명, 교육문의일반전화번호, 교육문의팩스번호, 교육문의이메일, 사용여부, 신규등록여부, 지정서발급번호, 재해예방기관코드, 지역분류코드, 최초입력자아이디, 최초입력부서코드, 최초입력지사코드, 최초입력일시, 최종수정자아이디, 최종수정부서코드, 최종수정지사코드, 최종수정일시, 교육기관고유번호, 본사여부, 사업장관리번호, 사업개시번호, 사업자등록번호, 교육기관명, 고용노동부관리지사명, 관리지사코드, 대표자명, 사업장전화번호, 사업장팩스번호, 사업장우편번호",한국산업안전보건공단,미디어 현장배송 서비스
68,산업안전보건,산업안전,안전보건교육,민간교육기관평가,"평가년도, 교육기관고유번호, 교육구분코드, 평가합계점수, 기관평가등급구분코드","평가년도, 교육기관고유번호, 교육구분코드, 평가합계점수, 기관평가등급구분코드, 게시여부, 업무관리체계점수, 교육훈련점수, 유지관리점수, 교육관리점수, 교육학생관리점수, 자체평가점수, 최초입력자아이디, 최초입력부서코드, 최초입력지사코드, 최초입력일시, 최종수정자아이디, 최종수정부서코드, 최종수정지사코드, 최종수정일시",한국산업안전보건공단,미디어 현장배송 서비스
69,산업안전보건,산업안전,해외지원,게시글,"게시판 번호,  제목, 내용","에디터 첫번째 이미지, 게시글 유일키, 원글식별번호, 게시판 번호, 답변글순서, 원글-답변글의 묶음 번호, 답변글의 깊이, 분류번호, 제목, 내용, 등록시 권한, 글쓴이 아이디, 글쓴이 이름, 글 비밀번호, 글쓴이 식별키 ipin-id, 글쓴이 이메일, 글쓴이 전화, 글쓴이 휴대폰, 조회수, 삭제여부 YN, 비밀글 사용여부 YN, 댓글내용, 댓글 작성일, 댓글 아이디, 댓글 작성자, 댓글 작성자 전화, 댓글 작성자 이메일, 댓글 완료 여부 YN, html 사용여부 YN, 댓글 html 사용여부 YN, 상태, 승인여부 YN, 만족도점수, 개선점(만족도용), 개인정보 동의 여부 YN, 공지 시작일, 공지 종료일, 삭제플래그 지정일, 삭제플래그 지정 아이디, 삭제플래그 지정 사용자명, 작성자 아이피, 삭제플래그 지정 아이피, 추천 포인트, 비추천 포인트, 작성자 SNS 아이디, 작성자 SNS 밴더, 확장필드날짜1, 확장필드날짜2, 확장필드날짜3, 확장필드날짜4, 확장필드날짜5, 확장필드문자1, 확장필드문자2, 확장필드문자3, 확장필드문자4, 확장필드문자5, 확장필드문자6, 확장필드문자7, 확장필드문자8, 확장필드문자9, 확장필드문자10, 확장필드문자11, 확장필드문자12, 확장필드문자13, 확장필드문자14, 확장필드문자15, 확장필드텍스트1, 확장필드텍스트2, 작성일, 정렬일자, 최종 업데이트, 정렬번호, 확장필드",한국산업안전보건공단,아시아·태평양 산업안전보건기구 홈페이지(APOSHO 홈페이지)
